ref_id,name,tier,tier_label,cluster,cluster_name,group,applicability,family,layer,ai_substrate,cadence,pipeline_layer,assurance_question,measurement_method,lifecycle_phases,responsible_actors,maturity,source,group_file,heading_line
TP.AC-1,Signal-to-Noise Ratio (SNR) Monitoring,2,Recommended,TP,The Technical Pipeline,Audio Capture & Environment,AVT-Specific,,Detection,Pre-AI,Continuous,Audio Capture,Fidelity & Accuracy,Computational,"Pre-deployment, Continuous","Vendor, Deployer",Proposed / Novel,Standard audio engineering; applied to AVT quality assurance,tp/audio-capture.md,1
TP.AC-2,Voice Activity Detection (VAD) Accuracy,3,Advanced / Research,TP,The Technical Pipeline,Audio Capture & Environment,AVT-Specific,,Prevention,Pre-AI,One-off gate,Audio Capture,Fidelity & Accuracy,Computational,Pre-deployment,Vendor,Established,Standard speech processing; critical for clinical AVT given variable environment,tp/audio-capture.md,73
TP.AC-3,Acoustic Environment Profiling,2,Recommended,TP,The Technical Pipeline,Audio Capture & Environment,AVT-Specific,,Prevention,Pre-AI,One-off gate,Audio Capture,Safety,Computational,Pre-deployment,Deployer,Proposed / Novel,Proposed - extends validated use envelope concept to acoustic conditions,tp/audio-capture.md,113
TP.AC-4,Bystander Voice Detection Rate,3,Advanced / Research,TP,The Technical Pipeline,Audio Capture & Environment,AVT-Specific,,Detection,Pre-AI,Continuous,Audio Capture,Patient Experience,Computational,"Pre-deployment, Continuous",Vendor,Proposed / Novel,Identified in NHSE IG guidance on ambient scribing privacy implications; CQC Mythbuster 109 context,tp/audio-capture.md,155
TP.AC-5,Microphone & Hardware Validation,1,Minimum Viable,TP,The Technical Pipeline,Audio Capture & Environment,AVT-Specific,,Prevention,Pre-AI,One-off gate,Audio Capture,Operational,Computational,Pre-deployment,Deployer,Established,Standard audio hardware validation; vendor deployment requirements,tp/audio-capture.md,195
TP.AC-6,Speaker Overlap Rate,3,Advanced / Research,TP,The Technical Pipeline,Audio Capture & Environment,AVT-Specific,,Prevention,Pre-AI,One-off gate,Audio Capture,Fidelity & Accuracy,Computational,Pre-deployment,Vendor,Established,Standard speech processing; particularly relevant for clinical consultations,tp/audio-capture.md,233
TP.AC-7,Audio Clipping / Saturation Rate,2,Recommended,TP,The Technical Pipeline,Audio Capture & Environment,AVT-Specific,,Detection,Pre-AI,Continuous,Audio Capture,Fidelity & Accuracy,Computational,"Pre-deployment, Continuous","Vendor, Deployer",Established,Standard audio engineering,tp/audio-capture.md,273
TP.AC-8,Codec & Sampling Rate Compliance,2,Recommended,TP,The Technical Pipeline,Audio Capture & Environment,AVT-Specific,,Detection,Pre-AI,Continuous,Audio Capture,Fidelity & Accuracy,Computational,"Pre-deployment, Continuous","Vendor, Deployer",Established,Standard audio engineering; vendor minimum specifications,tp/audio-capture.md,331
TP.AC-9,Microphone Drift Detection,3,Advanced / Research,TP,The Technical Pipeline,Audio Capture & Environment,AVT-Specific,,Detection,Pre-AI,Continuous,Audio Capture,Operational,Computational,Continuous,"Vendor, Deployer",Proposed / Novel,Proposed - extends hardware validation to ongoing monitoring,tp/audio-capture.md,371
TP.ASR-1,Word Error Rate (WER),2,Recommended,TP,The Technical Pipeline,ASR / Transcription,AVT-Specific,Clinical Transcription Accuracy,Prevention,AI-Substrate,One-off gate,ASR / Transcription,Fidelity & Accuracy,Computational,Pre-deployment,Vendor,Established,[Wang-ADS-Eval-2025]; standard ASR literature,tp/asr-transcription.md,1
TP.ASR-2,Medical Word Error Rate (M-WER),3,Advanced / Research,TP,The Technical Pipeline,ASR / Transcription,AVT-Specific,Clinical Transcription Accuracy,Prevention,AI-Substrate,One-off gate,ASR / Transcription,Safety,Computational,Pre-deployment,"Vendor, National Body",Proposed / Novel,[OxonFair-2024] (proposed AVT extension; future work),tp/asr-transcription.md,61
TP.ASR-3,Clinical Keyword Error Rate (CK-ER),3,Advanced / Research,TP,The Technical Pipeline,ASR / Transcription,AVT-Specific,Clinical Transcription Accuracy,Detection,AI-Substrate,Continuous,ASR / Transcription,Safety,Computational,"Pre-deployment, Continuous",Vendor,Proposed / Novel,[OxonFair-2024] (healthcare voice fairness extension; future work),tp/asr-transcription.md,147
